alg1,alg2,W,p,p_holm,reject_0.05
SSA,jSO,0.0,0.00048828125,0.01806640625,True
SLO_HBYRID,SciPyDE,0.0,0.00048828125,0.0185546875,True
SLO_HBYRID,SSA,0.0,0.00048828125,0.01904296875,True
PSO,SSA,0.0,0.00048828125,0.01953125,True
PSO,SLO_HBYRID,0.0,0.00048828125,0.02001953125,True
NLSHADE-RSP,SciPyDE,0.0,0.00048828125,0.0205078125,True
NLSHADE-RSP,SSA,0.0,0.00048828125,0.02099609375,True
NLSHADE-RSP,PSO,0.0,0.00048828125,0.021484375,True
LSHADE,SSA,0.0,0.00048828125,0.02197265625,True
LBFGSB,jSO,0.0,0.00048828125,0.0224609375,True
LBFGSB,SLO_HBYRID,0.0,0.00048828125,0.02294921875,True
LBFGSB,PSO,0.0,0.00048828125,0.0234375,True
LBFGSB,NLSHADE-RSP,0.0,0.00048828125,0.02392578125,True
LBFGSB,LSHADE,0.0,0.00048828125,0.0244140625,True
JADE,SSA,0.0,0.00048828125,0.02490234375,True
JADE,LBFGSB,0.0,0.00048828125,0.025390625,True
GWO,jSO,0.0,0.00048828125,0.02587890625,True
GWO,SLO_HBYRID,0.0,0.00048828125,0.0263671875,True
GWO,NLSHADE-RSP,0.0,0.00048828125,0.02685546875,True
GWO,LBFGSB,0.0,0.00048828125,0.02734375,True
GWO,JADE,0.0,0.00048828125,0.02783203125,True
GA,jSO,0.0,0.00048828125,0.0283203125,True
GA,SLO_HBYRID,0.0,0.00048828125,0.02880859375,True
GA,NLSHADE-RSP,0.0,0.00048828125,0.029296875,True
GA,LSHADE,0.0,0.00048828125,0.02978515625,True
GA,LBFGSB,0.0,0.00048828125,0.0302734375,True
GA,JADE,0.0,0.00048828125,0.03076171875,True
CMAES,SLO_HBYRID,0.0,0.00048828125,0.03125,True
CMAES,NLSHADE-RSP,0.0,0.00048828125,0.03173828125,True
CMAES,LBFGSB,0.0,0.00048828125,0.0322265625,True
SciPyDE,jSO,1.0,0.0009765625,0.0341796875,True
CMAES,jSO,1.0,0.0009765625,0.03515625,True
LBFGSB,SciPyDE,1.5,0.00146484375,0.046875,True
GWO,LSHADE,1.5,0.00146484375,0.04833984375,True
CMAES,JADE,1.5,0.00146484375,0.0498046875,True
PSO,jSO,3.0,0.00244140625,0.07080078125,False
CMAES,SSA,3.0,0.00244140625,0.0732421875,False
CMAES,LSHADE,3.0,0.00244140625,0.07568359375,False
LSHADE,SciPyDE,5.0,0.0048828125,0.126953125,False
LBFGSB,SSA,4.5,0.0048828125,0.1318359375,False
JADE,PSO,5.0,0.0048828125,0.13671875,False
GA,SSA,6.0,0.0068359375,0.1708984375,False
LSHADE,PSO,7.0,0.00927734375,0.22265625,False
JADE,SciPyDE,8.0,0.01220703125,0.28076171875,False
GWO,SSA,9.0,0.01611328125,0.3544921875,False
SSA,SciPyDE,11.0,0.02685546875,0.56396484375,False
SLO_HBYRID,jSO,10.0,0.083984375,1.0,False
PSO,SciPyDE,31.0,0.5693359375,1.0,False
CMAES,GWO,33.5,0.67724609375,1.0,False
GWO,PSO,32.0,0.6220703125,1.0,False
LSHADE,NLSHADE-RSP,29.0,0.7646484375,1.0,False
JADE,jSO,8.5,0.064453125,1.0,False
JADE,NLSHADE-RSP,11.0,0.0537109375,1.0,False
JADE,SLO_HBYRID,21.0,0.3203125,1.0,False
GA,SciPyDE,30.5,0.5693359375,1.0,False
GA,PSO,21.0,0.17626953125,1.0,False
GWO,SciPyDE,36.0,0.85009765625,1.0,False
JADE,LSHADE,15.0,0.232421875,1.0,False
CMAES,PSO,34.5,0.791015625,1.0,False
CMAES,SciPyDE,33.5,0.67724609375,1.0,False
NLSHADE-RSP,SLO_HBYRID,25.0,0.51953125,1.0,False
LSHADE,jSO,9.0,0.12890625,1.0,False
LSHADE,SLO_HBYRID,27.0,1.0,1.0,False
NLSHADE-RSP,jSO,22.0,0.365234375,1.0,False
GA,GWO,27.5,0.423828125,1.0,False
CMAES,GA,23.5,0.2333984375,1.0,False
