% f evaluations | g evaluations | best noise-free fitness - Fopt (9.294000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.398008810e+02 +1.032740881e+03 +1.032740881e+03 +3.6902e+00 +2.2922e+00 +3.7218e+00 +4.4459e+00 +5.0568e-01 -4.4455e+00 -3.4298e+00 +3.1102e+00 +4.0494e+00 +3.7707e+00
2 0 +7.433453936e+02 +8.362853936e+02 +8.362853936e+02 +2.3336e+00 +1.5281e+00 -3.8692e+00 -1.1099e+00 -3.4866e+00 +4.4653e+00 +1.5042e+00 -7.9781e-01 +3.3723e-02 -2.2872e+00
8 0 +6.548870653e+02 +7.478270653e+02 +7.478270653e+02 -2.5999e+00 -1.5695e+00 +7.1181e-01 +8.9331e-01 +4.4705e+00 -2.7525e+00 +8.2164e-01 +1.6290e+00 +4.2723e+00 -1.7200e+00
9 0 +5.748821354e+02 +6.678221354e+02 +6.678221354e+02 +2.8132e+00 +4.9291e+00 +2.3789e+00 +4.0915e-01 +4.4468e+00 -3.9561e+00 +2.7918e+00 +2.3471e+00 +4.5817e+00 +3.7749e+00
12 0 +5.055426992e+02 +5.984826992e+02 +5.984826992e+02 +7.4486e-01 -3.9602e+00 +1.1866e+00 +3.5160e+00 -6.2994e-01 +4.7944e+00 +1.2209e+00 +3.3704e+00 -2.1367e+00 +2.3419e+00
26 0 +2.942964192e+02 +3.872364192e+02 +3.872364192e+02 -2.8622e+00 +4.2115e-01 +3.0345e+00 +3.9472e+00 +1.2235e-02 +7.5809e-01 -4.7281e+00 -2.6810e+00 -6.5389e-01 -2.7764e+00
57 0 +1.488050690e+02 +2.417450690e+02 +2.417450690e+02 +8.4081e-01 -1.2267e+00 -1.0520e+00 +2.1520e+00 +9.2507e-03 +4.8700e+00 +1.1745e+00 -3.1625e+00 +5.5564e-01 +2.5851e+00
118 0 +1.231590078e+02 +2.160990078e+02 +2.160990078e+02 -1.1593e+00 -3.2741e+00 +1.0027e-01 +4.7598e+00 +1.1095e+00 +3.6176e+00 -4.4908e-01 +1.4199e+00 +2.0543e-01 +2.8917e+00
160 0 +1.170904128e+02 +2.100304128e+02 +2.100304128e+02 -2.2616e+00 -3.7965e+00 +1.3054e+00 +3.7164e+00 +2.9523e+00 +3.6549e+00 -2.1763e+00 +9.8436e-01 +7.6660e-01 +2.5071e+00
178 0 +5.107428209e+01 +1.440142821e+02 +1.440142821e+02 +5.3607e-01 -1.8599e+00 -3.4142e+00 +4.7150e+00 +1.4664e+00 +5.0000e+00 +1.3781e+00 -3.3468e+00 +4.6430e-01 +3.5301e+00
367 0 +4.014691287e+01 +1.330869129e+02 +1.330869129e+02 +4.0808e-01 -6.7403e-01 -2.5696e+00 +3.1980e+00 +1.7191e+00 +5.0000e+00 +5.4208e-01 -3.2797e+00 +1.2714e+00 +1.8203e+00
431 0 +3.197921357e+01 +1.249192136e+02 +1.249192136e+02 +2.6149e-01 -1.5448e+00 -2.9591e+00 +2.6521e+00 +2.7331e+00 +5.0000e+00 +1.3548e+00 -3.4844e+00 +1.3825e+00 +3.6296e+00
435 0 +2.457912858e+01 +1.175191286e+02 +1.175191286e+02 +2.4136e-01 -3.2305e+00 -5.9331e-01 +5.0000e+00 +1.7338e+00 +3.9376e+00 +4.0876e-01 -1.9993e+00 +7.7019e-01 +1.6414e+00
467 0 +2.263629411e+01 +1.155762941e+02 +1.155762941e+02 +2.4008e-01 -1.4632e+00 -1.0859e+00 +3.9420e+00 +3.1167e+00 +3.8187e+00 +9.0341e-01 -3.2776e+00 +9.6255e-01 +1.8480e+00
682 0 +2.070160338e+01 +1.136416034e+02 +1.136416034e+02 -1.0416e+00 -2.2402e-02 -2.0132e-01 +3.3402e+00 +1.5376e+00 +5.0000e+00 +4.3887e-01 -2.3630e+00 +2.5116e+00 +3.4023e+00
710 0 +1.659556419e+01 +1.095355642e+02 +1.095355642e+02 -4.8503e-01 -7.8225e-01 +4.1422e-01 +3.8949e+00 +1.4668e+00 +5.0000e+00 +1.3261e+00 -3.6604e+00 +1.6323e+00 +2.3516e+00
898 0 +1.528165043e+01 +1.082216504e+02 +1.082216504e+02 -1.6519e+00 -1.4411e+00 +1.0603e+00 +3.3642e+00 +1.4491e+00 +5.0000e+00 +1.1260e+00 -2.7799e+00 +3.2305e+00 +2.3189e+00
926 0 +1.023347784e+01 +1.031734778e+02 +1.031734778e+02 -7.9706e-01 -2.4132e-01 -2.8905e-01 +3.4301e+00 +1.8712e+00 +4.2112e+00 +1.1652e+00 -3.2337e+00 +3.8764e+00 +1.6776e+00
1251 0 +6.325290052e+00 +9.926529005e+01 +9.926529005e+01 -1.1066e+00 -8.0901e-01 -6.1245e-02 +2.3541e+00 +3.0583e+00 +5.0000e+00 +2.1785e+00 -2.7807e+00 +3.6135e+00 +3.3064e+00
1837 0 +4.414305366e+00 +9.735430537e+01 +9.735430537e+01 -6.8615e-01 +3.4423e-01 +6.3097e-02 +2.6448e+00 +2.7182e+00 +5.0000e+00 +2.6060e+00 -3.5174e+00 +4.4074e+00 +2.5842e+00
